name,borough,extant,cast,materials,MaintainedByParks
A Bird Named Goldilocks,Staten Island,Y,1995,Bronze (brown patina),Y         
Abingdon Square Doughboy,Manhattan,Y,ca. 1921,"Bronze, Deer Isle granite",Y         
Amphibian,the Bronx,Y,ca. 1936,Stone,
Abram Stevens Hewitt,Manhattan,Y,ca. 1906,Westerly granite,
Accounts,Manhattan,Y,ca. 1912,Maine granite,
Admiral George Dewey Memorial,Manhattan,Y,1973,"Bronze, Barre granite (Presbry-Leland Company)",Y         
Adoption of the Constitution,the Bronx,Y,ca. 1937,Bronze,Y         
Æsculapius,Manhattan,Y,ca. 1931,Bronze,
African Antelopes,Manhattan,Y,1935,Indiana limestone,Y         
Alamo,Manhattan,Y,ca. 1967,Cor-Ten steel (painted black),Y         
Alben Square Flagstaff,Brooklyn,Y,ca. 1935,"Concrete, bronze, brick terrace",Y         
Alfred Lincoln Seligman Fountain,Manhattan,Y,ca. 1914,Bronze,Y         
Alfred Tredway White,Brooklyn,Y,circa 1923,bas-relief--bronze; boulder--fieldstone,
Alice in Wonderland,Manhattan,Y,1959,"Bronze, Chelmsford granite",Y         
Allerton Avenue Bridge Plaques,the Bronx,Y,ca. 1905,Bronze,Y         
Altman Memorial Fountain,Manhattan,N,1955,Stone,
Altman Plaque,Manhattan,N,ca. 1958,Bronze,
Amalgamated Dwellings Plaque,Manhattan,N,ca. 1941,Bronze,
American Antelopes,Manhattan,Y,1935,Indiana limestone,
American Boy,the Bronx,Y,ca. 1932,Figure and pedestal--Indiana limestone; plaque--bronze,Y         
American Flagstaff,the Bronx,Y,ca. 1975 (?),base--concrete; plaques--bronze,
American Legion Flagstaff,Manhattan,N,1941,Base--cast stone; Original plaque--bronze; Replacement tablet--granite with bronze decorations,
American Memorial to Six Million Jews of Europe,Manhattan,Y,1947,Barre granite,Y         
American Merchant Mariners Memorial,Manhattan,Y,1991,Figures--bronze; lifeboat--fiber-reinforced concrete; concrete,
American Merchant Mariners Memorial Plaque,Manhattan,Y,1991,"Bronze, granite",Y         
American Museum of Natural History Plaque,Manhattan,M,ca. 1931,Bronze,
American Museum of Natural History Tablet,Manhattan,Y,ca. 1929,Carrara marble with bronze letters,Y         
American Redout Marker,Manhattan,Y,1910,Boulders and concrete,Y         
Americans Creed,Brooklyn,Y,ca. 1923,bronze,
Amiable Child Memorial,Manhattan,Y,1967,Original headstone--sandstone; First replacement urn and pedestal--white Vermont marble; Second replacement urn and pedestal--light grey Barre granite,Y         
Andrew Heiskell Plaza,Manhattan,Y,ca. 1993,Granite,
Annadale Memorial,Staten Island,Y,ca. 1953,Bronze,Y         
Anthony R. Gaeta Memorial,Staten Island,Y,1994,Plaque--bronze; slab--Canadian granite,Y         
Antonin Dvorak,Manhattan,Y,ca. 1960,Figure and plaque: bronze; base: Brazilian green granite (verde lavros),Y         
Archimedes,Brooklyn,Y,1934,,
Archimedes,Brooklyn,Y,1934,,
Architecture,Manhattan,Y,ca. 1905,Westerly granite,
Argonne-Marine Memorial Oval Marker,Brooklyn,Y,ca. 1971,Barre granite (honed finish on face),Y         
Armed Forces Plaque,Manhattan,Y,ca. 1953,"Bronze, Barre granite",Y         
Armenian Grove Plaque,Manhattan,Y,ca. 1985,"Bronze, granite",Y         
Armillary Sphere,Manhattan,Y,1971,"Bronze, cast stone",Y         
Armillary Sphere and Sundial,Queens,N,1961,"Bronze, granite and bluestone",
Arsenal Landmark Plaque,Manhattan,Y,1958,Aluminum,Y         
Arsenal Mural,Manhattan,Y,1937,Oil on canvas applied to walls,Y         
Arthur Brisbane Monument,Manhattan,Y,ca. 1939,Swenson's pink granite,Y         
Arthur Cunningham,Queens,Y,1941,Bronze,Y         
Astoria Park War Memorial,Queens,Y,1926,"Concord, Massachusetts granite",Y         
Athena,Queens,Y,ca. 1998,Figure--bronze; pedestal--green granite,Y         
Australian Tree Marker,Manhattan,Y,1929,"Bronze, Georgia granite",Y         
Authority,Manhattan,Y,ca. 1906,figure--Westerly granite; pedestal--Barre light granite,
Autumn,Manhattan,Y,ca. 1903,Westerly granite,
Avenue of the United Nations Marker,Queens,M,ca. 1964,Granite,
Baboon and Mandrill,Manhattan,Y,1935,Indiana limestone,
Bacchante and Infant Faun,Manhattan,Y,ca. 1920 (?),Bronze,
Bailey Fountain,Brooklyn,Y,1931,Figures and pedestal--bronze; Basin--stone; Basin coping--aglomerated rocks,Y         
Baird Court Dolphin Fountains,the Bronx,Y,ca. 1937 (?),,
Baisley Pond Park Memorial,Queens,Y,ca. 1921,Granite,Y         
Balto,Manhattan,Y,ca. 1925,Figure--bronze; Tablet--slate; Natural boulder--Manhattan schist,Y         
Bartel-Pritchard Circle Columns,Brooklyn,Y,ca. 1906,Columns and plinths--granite; tripods and bowls--bronze,Y         
Bartel-Pritchard Circle War Memorial,Brooklyn,Y,ca. 1965,"Black granite (polished), inscription--gold leaf",Y         
Baruch Park Plaque,Manhattan,M,ca. 1939,bronze,
Battery Park Cannon,Manhattan,Y,ca. 1914,Cannon--iron; base--granite; plaque--aluminum,Y         
Battery Park Underpass Marker,Manhattan,Y,ca. 1951,bronze,
Battle of Harlem Heights Marker,Manhattan,Y,ca. 1961,"Bronze, granite",Y         
Battle Pass Historic Marker,Brooklyn,Y,1991,"Bronze, granite",Y         
Bayside Civil War Boulder,Queens,Y,1935,"Granite, bronze",Y         
Bayside War Memorial,Queens,Y,ca. 1925,"Marble, granite",
Beach and Sea Lion,the Bronx,Y,ca. 1936,Stone,
Beacon,Brooklyn,Y,2004,Bronze,Y         
Beauty,Manhattan,Y,ca. 1920,Carrara marble (dull finish),
Bernard M. Baruch Bench Plaque,Manhattan,N,ca. 1976,original plaque--bronze; replacement tablet--marble; platform--stone,
Bernard M. Baruch Memorial,Manhattan,L,1953,"Bust--bronze; Pedestal, stele, and platform--black granite",Y         
Bernard M. Baruch Plaque,Manhattan,M,1965,Bronze,
Betsy Head Fountain,Brooklyn,N,ca. 1917,bronze,
Bicentennial Veterans Memorial,the Bronx,Y,ca. 1976,Granite paver,
Bigger Bird,Queens,N,ca. 1986,"Steel poles, wire mesh",
"Bill ""Bojangles"" Robinson Mural",Manhattan,Y,"November 1, 1991","Mural--aluminum panels (¼"" thick, coated with Duranar Fluoropolymer); plaque--bronze",Y         
Bird Flying Machine,Manhattan,Y,1973,Bronze,Y         
Boar,Manhattan,Y,ca. 1972,Boar--bronze; Pedestal--granite,Y         
Bound Hands Rising Free,Brooklyn,Y,"January, 2000",Bronze; granite,Y         
Bowdoin Horse Trough I,Queens,Y,ca. 1909,Trough--(Deer Isle?) granite; Filling--concrete,Y         
Bowling Green Fountain,Manhattan,Y,1977,"Concrete, bluestone coping",Y         
Bowling Green Marker,Manhattan,Y,1938,"Bronze, Milford pink granite",Y         
Breakwater Memorial Flagstaffs,Manhattan,N,ca. 1900,Pedestals--granite; Ornaments--zinc; Plaques--bronze,
Bronx Victory Memorial,the Bronx,Y,1925,"Bronze, Rockport and Deer Isle granite",Y         
Broadway Starship,Staten Island,N,1985,Oak with brass fittings,
Bronx Local Board #2 World War Memorial,the Bronx,Y,ca. 1920,Column---Quincy granite; Plaque---bronze,Y         
Bronx Victory Memorial,the Bronx,Y,1933,Column--Cordova Texas limestone; Figure--bronze; Bas-reliefs--limestone; 4 urns--limestone; 2 urns--terra cotta,Y         
Caribou,Manhattan,Y,1935,Indiana limestone,
Brooklyn Korean War Veterans Plaza,Brooklyn,Y,1992,Gate and flagstaff base--granite; Steps and wheelchair ramp--concrete,Y         
Brooklyn War Memorial,Brooklyn,Y,ca. 1951,Limestone,Y         
Buffalo Hunt,Manhattan,Y,1916,,
Burnett Memorial Fountain,Manhattan,Y,1926,Figures--bronze; Pedestal---Milford pink granite; Tablet--slate,Y         
Bushwick War Memorial,Brooklyn,Y,1920,Tennessee pink marble,Y         
Bushwick-Ridgewood Memorial,Brooklyn,Y,1919,Figure--bronze; Pedestal--Westerly granite,Y         
Cactus Couple,Manhattan,Y,1985,Forms--serpentine marble (nubs unpolished); Base--white marble (unpolished) and Formica; Box--wood,Y         
Cadwallader David Colden,Manhattan,Y,ca. 1905,Westerly granite,
Caleb Heathcote,Manhattan,Y,ca. 1904,Westerly granite,
Call of the Sea,Brooklyn,Y,ca. 1936,bronze,
Captain Roald Amundsen Plaque,Staten Island,Y,ca. 1933,Bronze,Y         
Carmine Street Pool Mural,Manhattan,Y,August 1987,Paint,Y         
Carroll Park Memorial,Brooklyn,Y,1920,"Stele, plinth and step--granite; Bas-reliefs and plaques--bronze",Y         
Castello Plan,Manhattan,Y,2010,"Bronze, Tiger-stripe granite boulder",Y         
Castle Clinton National Monument Plaques,Manhattan,Y,ca. 1954,Bronze,
Castle Clinton Plaque,Manhattan,M,ca. 1909,Bronze,
Catfish Waterjets,Manhattan,Y,ca. 1995,bronze,
Charging Bull,Manhattan,Y,ca. 1989,Bronze,Y  Y      
"Cheetah, Leopard and Puma",Manhattan,Y,1935,Indiana limestone,
Chelsea Park Memorial (Doughboy),Manhattan,Y,1921,Figure--bronze; Pedestal and wall--Deer Isle granite,Y         
Chemistry,Manhattan,Y,ca. 1905,Westerly granite,
Chief Nimham Memorial,the Bronx,Y,1906,"Fieldstone conglomerate, bronze",Y         
Childhood,Manhattan,Y,ca. 1902,Westerly granite,
Chimpanzee,Manhattan,Y,1935,Indiana limestone,
Christopher Columbus,Queens,Y,1941,Figure--bronze; Pedestal and plinth--cast stone,Y         
Christopher Columbus Monument Fountain,Manhattan,N,ca. 1965,Plaque--bronze; Plinth--granite,
Cigarette,Manhattan,Y,1971,steel (painted black),
City Employees War Memorial,Manhattan,Y,ca 1926,Flagstaff--iron; Sleeve--bronze; Pedestal--Deer Isle granite,Y         
Civic Virtue,Queens,Y,ca. 1922,White Georgia marble,Y         
Clinton War Memorial (Doughboy),Manhattan,Y,ca. 1927,"Bronze, North Jay granite",Y         
Coast Guard Memorial,Manhattan,Y,1947,"Bronze, Deer Isle granite",Y         
Cockatoos and Ara,Manhattan,Y,1935,Indiana limestone,
Colonel David Marcus Memorial Plaque,Brooklyn,Y,1991,Bronze,Y         
Colonel David Marcus Memorial Playground Plaque,Brooklyn,Y,1948,"Bronze, granite",Y         
Colonel Frank H. Hines Memorial,the Bronx,M,1930,"Bronze, travertine",
Columnade,Manhattan,Y,1973,"Precast, reinforced concrete",Y         
Commerce,Manhattan,Y,ca. 1905,Westerly granite,
Commerce,Manhattan,Y,ca. 1903,Westerly granite,
Confucius,Manhattan,Y,1976,Figure--bronze; pedestal--concrete faced with variegated green Eastern Taiwan marble; terrace and bollards--variegated Eastern Taiwan green marble,Y         
Consolidation of Greater New York,Manhattan,Y,ca. 1906,white marble,
Cormorants,Manhattan,Y,1935,Indiana limestone,
Cornelius Heeney Memorial,Brooklyn,Y,ca. 1977,"Pennsylvania black granite, bronze",Y         
Corporal Sam Abrams Memorial,Brooklyn,N,ca. 1945,"Bronze, Barre granite",
Crack Is Wack,Manhattan,Y,1986,Paint,Y         
Crime Victims Memorial,Manhattan,Y,"April 24, 1991",Gray granite,Y         
Crotona Park Plaque,the Bronx,Y,circa 1913,Bronze,Y  Y      
Dancing Goat,Manhattan,Y,1937,Bronze,Y         
Dante Alighieri,Manhattan,Y,ca 1921,Figure and leaves--bronze; Pedestal--North Jay granite,Y         
David Pietersen De Vries,Manhattan,Y,ca. 1904,Westerly granite,
Dawn of Glory,Queens,Y,1924,Figure--bronze; Pedestal--Deer Isle granite,Y         
De Witt Clinton,Manhattan,Y,ca. 1905,Westerly granite,
Deer,Manhattan,Y,1935,Indiana limestone,
Delacorte Clock,Manhattan,Y,1965,Animals and bell--bronze; Grillwork--iron; Gateway--brick and limestone,Y         
Delacorte Fountain,the Bronx,Y,ca. 1972,Granite,
Delacorte Geyser,Manhattan,Y,ca. 1969,Monel stainless steel,
Dinosaur Play Sculptures,Manhattan,Y,1988,"Fiberglass and Steel, internal wire mesh support, internally supported by structural rebar with a layer of wire mesh, the resin surfacing is Hetron 27196 (approx. 1/4"" thick)",
Discus Thrower,Manhattan,Y,ca. 1926,"Figure, pedestal decorations, plaque--bronze; Pedestal-- Stony Creek granite (polished)",Y         
Diving Girls,Queens,N,1937,stainless steel,
Dongan Oak Marker,Brooklyn,Y,ca. 1994,Stele and base--granite; eagle and plaques--bronze,Y         
Doric Columns,Queens,Y,ca. 1996,Granite,Y         
Doris C. Freedman Plaza Plaque,Manhattan,Y,ca. 1981,Bronze,Y         
Dr. Alexander J.C. Skene,Brooklyn,Y,ca. 1905,"Bronze, white Vermont marble",Y         
Dr. Simon Baruch Bath House Plaque,Manhattan,L,1939,Bronze,
Dr. Simon Baruch Bath House War Memorial Plaque,Manhattan,S,ca. 1948,,
Dragon Fountain,Brooklyn,Y,1997,Bronze,Y         
Dreyfus Plaque,Staten Island,Y,ca. 1920,Bronze,Y         
Duane Park Flagstaff,Manhattan,N,1940,Base--Westerly granite,
Duane Park Plaques,Manhattan,Y,2000,Bronze,Y         
Duke Ellington Memorial,Manhattan,Y,ca. 1997,Bronze; pedestal--brick (?),Y         
Dyckman House Tablet,Manhattan,Y,ca. 1916,Brownstone,
Dyckman Municipal Landmark Plaque,Manhattan,N,ca. 1959,Aluminum,
Dyckman National Landmark Plaque,Manhattan,N,ca. 1968,Bronze,
Dyckman-Dean-Welch Plaque,Manhattan,N,ca. 1915,bronze,
Eagles and Vultures,Manhattan,Y,1935,Indiana limestone,
Eaphae-Aekyad #2,Manhattan,Y,ca. 1979,Welded hot-rolled steel (painted black),Y         
East 107th Street Recreational Pier,Manhattan,Y,1991,"Paving--yellow, black, and white terrazzo and brushed gray concrete; benches--concrete surfaced with yellow and black terrazzo (?)",
East 54th Street Recreation Center Plaque,Manhattan,Y,1939,Bronze,
East Coast Memorial,Manhattan,Y,1961,Eagle--bronze; pedestal--granite; pylons--Chelmsford granite,Y         
East River Roundabout,Manhattan,Y,ca. 1995,Spiral form--aluminum alloy 6061 and 6063; building frame--steel,Y         
East Side War Memorial,Manhattan,M,ca. 1921,"Deer Isle granite, bronze",
Edenwald Memorial Plaque,the Bronx,N,ca. 1948,bronze,
Edvard Grieg Memorial,Brooklyn,Y,ca 1914,Bust and plaque--bronze; Pedestal--granite,Y         
Edward Robinson Squibb Plaque,Brooklyn,Y,ca. 1959,Bronze,Y         
Eleventh Milestone Marker,Manhattan,Y,ca. 1912,"Brownstone, Westerly granite, brass",Y         
El Arbol de Esperanza,Manhattan,Y,ca. 1995,"Tree trunk figure--stainless steel (polished), globe---stainless steel, brass, bronze",Y         
Eleanor Roosevelt Memorial,Manhattan,Y,1996,"Figure, lettering on pavers, plaques--bronze; boulder, foot stone--Belfast black granite; low wall and pavers--granite; concentric pavement--bluestone",Y         
Electricity,Manhattan,Y,ca. 1905,Westerly granite,
Emilio Barbosa Memorial,Manhattan,Y,ca. 1996,Bronze and granite,Y         
Emma Lazarus Memorial Plaque,Manhattan,Y,1955,"Bronze, Israel limestone",Y         
Etched Granite Pavement,Queens,Y,ca. 1994,Black granite,Y         
Eternal Light Flagstaff,Manhattan,Y,1924,Bronze and Milford pink granite,Y         
Force,Manhattan,Y,ca. 1905,Westerly granite,
Father Francis P. Duffy,Manhattan,Y,1937,"Figure--bronze; Cross, pedestal, base, platform, and steps--Archean green granite (source, Angora, Minnesota)",Y         
Father Jerzy Popieluszko Monument,Brooklyn,Y,1990,Barre gray granite,Y         
Feltman Carousel,Queens,Y,1903,Wood,
Fidelity Park World War Memorial,Brooklyn,M,ca. 1921,"Bronze, limestone",
Fiorello H. La Guardia,Manhattan,Y,1934,"Bronze, Minnesota rainbow granite",Y         
Fiorello H. La Guardia,Manhattan,Y,ca. 1994,"Bronze, granite",Y         
Firemen's Memorial,Manhattan,Y,1912,"Bas-relief--bronze; Other elements--Knoxville marble, Pompton Lakes granite",Y         
First Symphony of the Sea,Brooklyn,Y,1992,"Terrazzo, ceramic, and concrete",Y         
Flushing Bay Promenade Pavement,Queens,Y,2000,"Clay bricks in following colors: ""601 sunlit earth,"" ""410 gunstock brown,"" ""820 Sahara""",
Flushing Memorial,Queens,Y,ca. 1925,Georgia pink marble,Y         
Flushing World War Memorial,Queens,Y,ca. 1935,"Granite, bronze",Y         
Flying Fish,the Bronx,Y,ca. 1936,Stone,
Foley Square Medallions,Manhattan,Y,2000,Bronze,Y         
Forest Hills War Memorial,Queens,Y,1920,Bas-relief--bronze; stele--granite,
Forms in Transit,Queens,Y,ca. 1964,Composition--sheet metal and tube metal (aluminum and iron?); Pedestal--concrete,Y         
Fort Hamilton War Memorial,Brooklyn,Y,1920,"Granite, bronze",Y         
Fountain of Life,the Bronx,Y,ca. 1905,Group--bronze; Pedestal---Dover marble,
Fountain of the Dolphins,Staten Island,Y,April 1998,Dolphin figures and rails--bronze; posts--steel,Y         
Four Eagles,Brooklyn,Y,ca. 1901,"Granite, bronze",Y         
Fourteenth Infantry Regiment Doughboy,Brooklyn,Y,1923,"bronze,  light gray granite",
Fred Lebow,Manhattan,Y,1994,Bronze and Pennsylvania black granite,Y         
Freedom Tree Marker,Manhattan,Y,ca. 1972,"Bronze, granite",Y         
Frederick E. Samuel Memorial,Manhattan,Y,ca. 1986 (?),"Bronze, concrete",Y         
Free Form,Queens,Y,1964,"Stainless steel, Atlantic black granite (polished)",Y         
Freedom of the Human Spirit,Queens,Y,ca. 1964,"Bronze, pink granite",Y         
Freedom Square Memorial,Brooklyn,Y,ca. 1921,"Bronze, Mount Airy granite",Y         
Freedom Tree Marker,Manhattan,M,1973,"Bronze, Qunicy granite",
Freedom Tree Marker,Manhattan,Y,ca. 1973,"Bronze, granite",Y         
Friedel Memorial Drinking Fountain,Manhattan,Y,1992,"Black granite, black marble",Y         
Fulton Park Comfort Station Plaque,Brooklyn,N,ca. 1910,Bronze,
Gates of Life,Queens,Y,ca. 1968,Bronze,Y         
Gay Liberation,Manhattan,Y,1980,Figures--bronze (white lacquer); benches--steel (black paint),Y         
Gene Farmer Tablet,Staten Island,M,ca. 1975,Granite,
General Daniel Butterfield,Manhattan,Y,1917,"Bronze, Deer Isle granite",Y         
George Peirce Andrews,Manhattan,Y,1903,bronze,
General Edward Fowler,Brooklyn,Y,1902,"Bronze, Quincy granite (polished)",Y         
General Franz Sigel,Manhattan,Y,1907,"Bronze, Plymouth granite",Y         
General Henry Warner Slocum,Brooklyn,Y,ca. 1905,"Figure, eagle, and medallions--bronze; pedestal--pink Milford granite with steps of Milford granite alternating with Green's Landing granite",Y         
General Horace Porter Memorial,Manhattan,Y,circa 1939,"Somesound granite, bronze",Y         
General José Artigas,Manhattan,Y,February 1987,"Bronze, Uruguayan black and pink granite",Y         
General Jose de San Martin,Manhattan,Y,circa 1950,Figure and escutcheon--bronze; pedestal--granite,Y         
General Josiah Porter,the Bronx,Y,ca. 1902,"Bronze, Westerly, R. I. Granite",Y         
General Philip Henry Sheridan,Manhattan,Y,1936,"Bronze, Conway green granite",Y         
George M. Cohan,Manhattan,Y,1959,Figure--bronze; Pedestal--light Barre granite on dark Barre granite base,Y         
George T. Delacorte Memorial Plaque,Manhattan,Y,1992,Bronze; original plinth--granite,Y         
George Washington Accompanied by Fame and Valor,Manhattan,Y,1916,Granite,Y         
George Washington Accompanied by Wisdom and Justice,Manhattan,Y,1918,Granite,Y         
George Washington as Master Mason,Queens,Y,1967,"Bronze, North Carolina pink granite",Y         
George Washington at Valley Forge,Brooklyn,Y,1906,"Bronze, Somesound granite",Y         
Gerald MacDonald,Queens,Y,1934,"Bronze, granite",Y         
Gertie A. Gorman Memorial,Manhattan,Y,1929,Deer Isle granite,Y         
Gertrude Stein,Manhattan,Y,1991,"Figure--bronze; pedestal--light gray ""Stanstead"" Rock of Ages granite (polished); base: charcoal Cold Springs granite (polished)",Y         
Giovanni da Verrazzano,Manhattan,Y,1909,"Bronze, Deer Isle granite",Y         
Glendale War Memorial,Queens,Y,1921,"Plaque--bronze; Stele--Georgia granite,",Y         
Gorilla,Manhattan,Y,1935,Indiana limestone,
Governor Alfred E. Smith Memorial,Manhattan,Y,1946,"Figure, plaque, and bas-relief--bronze, die and base -- Texas pink granite",Y         
Governor Alfred E. Smith Memorial Maquette,Manhattan,Y,1944,Plaster,
Governor Alfred E.Smith Flagstaff,Manhattan,Y,1946,"Base--bronze, pedestal--Texas pink granite",Y         
Greenpoint War Memorial,Brooklyn,Y,1923,"Bronze, granite",Y         
Gretta Moulton Gate,Staten Island,Y,1995,Gate--black molded steel; piers--dry stone with concrete core; plaque--bronze (?),Y         
Group of Bears,Manhattan,Y,1989,Group and plaque--bronze; Pedestal--granite,Y         
Growth,Manhattan,Y,ca. 1985,Steel (painted),Y         
Guglielmo Marconi,Manhattan,L,1924,White Carara marble,
Hall of Fame for Great Americans,the Bronx,Y,ca. 1901,granite,
Hans Christian Andersen,Manhattan,Y,1956,Figures--bronze; Bench--Stony Creek pink granite (polished),Y         
Hans Christian Andersen,Manhattan,Y,1956,Figures--bronze; Bench--Stony Creek pink granite (polished),Y         
Happy Land Memorial,the Bronx,Y,ca. 1995,Rose granite (smooth honed),Y         
Harlem Heights First Line of Defense Marker,Manhattan,Y,ca. 1909,Bronze,Y         
Harlem Heights Main Line of Defense Plaque,Manhattan,Y,ca. 1901,Bronze,
Harlem Heights Middle Redoubt Marker,Manhattan,Y,ca. 1929,plaque--bronze; boulder--granite,
Harlem Heights Second Line of Defense Plaque,Manhattan,Y,ca. 1915,Bronze,
Harlem Heights Third Line of Defense Plaque,Manhattan,Y,ca. 1909,Bronze,
Harlem Hybrid,Manhattan,Y,"Oct. 12/13, 1976",Bronze (welded),Y         
Harold W. Cohn Memorial,Brooklyn,Y,circa 1991,"North Carolina pink Lawlor stone, bronze",Y         
Harriet Tubman Memorial,Manhattan,Y,2007,"Bronze, Chinese granite",Y         
Haym Salomon Memorial,Queens,Y,ca. 1976,Stele--granite (unpolished); Base--concrete (rusticated at top and sides),Y         
Heisser Square Park Cannon,Brooklyn,N,ca. 1915,"iron, wood, etc. (?)",
Henry Neufeld Playground Plaque,Manhattan,Y,1991,Plaque--bronze; boulder--Manhattan schist (found in Riverside Park); planting bed paved with bluestone,Y         
Henry W. Maxwell Memorial,Brooklyn,Y,1996,"Bronze, granite",Y         
Henry W. Maxwell Memorial,Brooklyn,L,1903,Bronze;,
Heritage,Manhattan,Y,ca. 1903,Westerly granite,
Hero Park Memorial Plaque,Staten Island,Y,ca. 1920,Bronze,Y         
Hero Park World War Memorial Plaque,Staten Island,Y,ca. 1920,Bronze,Y         
