PC,IMR,"Sex ratio (Females per 1,000 males)",Women with 10 or more years of schooling (In %),Average out of pocket expenditure per delivery in public health facility (In Rs),Institutional births (In %),Diarrhoea prevalence (reported) among children aged 0-5 years in the last 2 weeks preceding the survey (In %),Stunting among children under 5 (In %),Wasting among children under  (In %),Underweight among children under 5 (In %),Anaemia prevalence among children aged 6-59 months (In %),Anaemia prevalence among women (In %),Rural_MPCE_URP,Urban_MPCE_URP,Rural_MPCE_MRP,Urban_MPCE_MRP,Rural_LFPR,Urban_LFPR
MADHEPURA,59,1087,16,1180,60,9,47,24,46,64,58,1439.2880825,1890.415198,1263.620748,2001.9004335,0.48782395868951,0.299904970809357
SAMASTIPUR (SC),46,1104,20,1959,60,13,49,17,41,67,62,972.6987278,1626.303766,952.89342295,1550.122561,0.396121663058964,0.348611182882783
PURNIA,52,1065,15,1154,56,13,50,20,46,63,66,861.1924889,1276.476181,913.74227,1285.12794,0.478532288073793,0.394022368971717
SARAN,44,1049,28,2152,70,12,49,16,40,64,58,1292.7052785,1276.3770935,1248.2995255,1202.545125,0.363135105489299,0.373865159213945
KATIHAR,52,1039,15,1030,51,10,49,20,45,61,63,927.328879,1274.133391,963.5478102,1356.457724,0.466501235580963,0.414197399275208
HAJIPUR (SC),40,1023,28,1437,78,10,53,15,41,67,62,1478.288928,1329.146966,1462.100075,1029.413655,0.381582459972368,0.408541168431841
UJIARPUR,44,1043,25,1413,76,10,51,16,41,66,60,1203.8784113,1685.9330495,1218.84177825,1449.4071265,0.401587810806343,0.375013763896071
KHAGARIA,54,1050,20,1202,68,9,47,19,42,65,59,1229.2153012,1749.155203,1101.9128915,1734.729991,0.51550849915832,0.369104247508183
BEGUSARAI,40,1044,21,1209,75,7,44,18,39,62,59,1026.091186,1360.362761,1034.878784,1444.099012,0.439533575722842,0.422252559458027
BUXAR,46,1030,30,1207,80,4,48,20,44,61,57,922.8162263,1471.985711,892.3970368,1273.4416372,0.454157320013255,0.364428983396144
PATALIPUTRA,31,964,39,1647,86,3,43,28,43,51,57,811.4790319,1723.341761,808.817261,1716.740908,0.459389192678061,0.399999511796634
ARRAH,41,1033,28,1214,80,12,43,26,47,70,61,779.3645938,1034.584867,782.2194833,1027.48521,0.43213477179581,0.338249351358733
PATNA SAHIB,31,964,39,1647,86,3,43,28,43,51,57,811.4790319,1723.341761,808.817261,1716.740908,0.459389192678061,0.399999511796634
BHAGALPUR,49,1015,26,1036,69,8,46,23,40,70,61,897.8895366,1183.817902,903.3624774,1159.354648,0.450575217550226,0.521861777150917
MUNGER,39,982,31,1339,78,8,46,23,44,60,61,832.6306595,1442.37335333333,849.2625855,1371.94521833333,0.465696581963839,0.469250903902556
NALANDA,47,1037,24,888,78,6,54,24,50,59,61,933.8014333,1047.901272,902.3229807,1033.628908,0.489509572178423,0.381490222587048
BANKA,46,1010,21,1079,70,7,48,24,44,70,64,876.3083393,1115.947369,879.36194405,1130.26311,0.4935401841352,0.488779031245463
JAHANABAD,48,1089,28,1126,69,6,52,22,50,60,59,996.40982595,1264.617289,965.01842845,1264.7596495,0.471075876924382,0.403906757411231
NAWADA,49,1103,21,1230,67,6,46,26,48,61,62,896.6310237,1151.93870556667,909.254398433333,1165.55425866667,0.431328435808471,0.433160608839691
SASARAM (SC),46,1028,30,1144,80,4,51,20,46,62,59,908.44174305,1755.145728,883.0194915,1483.6969135,0.45242450303935,0.35865617433414
KARAKAT,42,1056,32,1482,76,4,48,22,46,57,58,867.73555615,1382.943124,849.8135832,1311.5645875,0.424087168195503,0.387949970823579
JAMUI (SC),48,1036,22,1233,72,7,46,26,47,63,64,846.124094266667,1147.82514556667,855.4293712,1116.58147533333,0.476508695643563,0.479574155641588
AURANGABAD,44,1080,28,1467,64,5,50,25,50,56,58,951.84393375,1252.485665,937.83200165,1242.547236,0.438101935802964,0.390918179952806
GAYA (SC),49,1076,24,1027,56,4,52,25,53,59,61,1038.314763,1149.454059,1001.379482,1244.981939,0.480454038254273,0.364592592592593
SURGUJA (ST),50,1024,19,1677,64,9,32,22,34,38,35,984.301796,1949.965326,896.3014765,1989.218257,0.693432646639478,0.475607843137255
KORBA,46,1015,25,1226,71,11,32,27,34,34,40,773.087304666667,1510.72011933333,847.342775033333,1655.11636733333,0.702583509768453,0.529291393073285
RAIGARH (ST),55,990,24,3130,63,7,37,18,36,34,38,1018.692797,1645.1573365,975.3794899,1700.921348,0.609469680360143,0.555588270882218
BILASPUR,38,1013,26,1112,77,17,34,26,33,31,39,775.9217729,1621.607702,889.6919449,1840.343639,0.71089804998649,0.53633649865699
RAJNANDGAON,53,1028,28,864,83,6,48,17,36,29,43,817.10758485,1085.25346435,841.3630764,1200.2031985,0.780399582775204,0.622507813032577
JANJGIR-CHAMPA (SC,45,1021,30,1714,65,7,37,20,36,41,45,789.2663566,2101.824233,834.6024854,2233.46478,0,0
DURG,35,997,35,2547,71,6,34,21,36,44,49,964.0473388,1506.516129,980.5268624,1777.439358,0.756545848640686,0.519018156410219
RAIPUR,45,1004,28,1354,69,5,38,19,37,47,50,789.2663566,2101.824233,834.6024854,2233.46478,0,0
MAHASAMUND,49,1023,26,1058,76,8,38,22,38,45,51,904.1497501,1898.181622,950.9485031,1882.651745,0.623524034759362,0.599090567058703
KANKER (ST),42,1037,27,1157,74,8,36,28,44,54,59,897.755878433333,1813.26609466667,933.151885733333,1854.39753433333,0.663015211713084,0.609444577999943
BASTAR (ST),42,1051,16,626,62,9,42,33,51,65,71,0,0,0,0,0.752851412211619,0.499497772432133
NORTH WEST DELHI (SC),20,788,61,6933,82,7,28,20,31,67,57,0,2914.846154,0,3360.115385,0,0.578947368421053
NORTH EAST DELHI,20,788,61,6933,82,7,28,20,31,67,57,0,2914.846154,0,3360.115385,0,0.578947368421053
CHANDNI CHOWK,20,788,61,6933,82,7,28,20,31,67,57,0,2914.846154,0,3360.115385,0,0.578947368421053
EAST DELHI,20,788,61,6933,82,7,28,20,31,67,57,0,2914.846154,0,3360.115385,0,0.578947368421053
WEST DELHI,20,788,61,6933,82,7,28,20,31,67,57,0,2914.846154,0,3360.115385,0,0.578947368421053
NEW DELHI,20,788,61,6933,82,7,28,20,31,67,57,0,2914.846154,0,3360.115385,0,0.578947368421053
SOUTH DELHI,20,788,61,6933,82,7,28,20,31,67,57,0,2914.846154,0,3360.115385,0,0.578947368421053
NORTH GOA,10,1030,61,6818,98,5,21,17,23,48,33,2133.626075,2786.227665,2031.501298,3085.795876,0.580266483153014,0.534975937355087
SOUTH GOA,10,1015,57,4288,96,3,19,22,23,48,30,2528.354404,2938.8672235,2553.4721955,2929.0651585,0.559419046130638,0.510806825547922
BANASKANTHA,35,991,14,3416,89,6,40,21,43,57,50,1497.748426,1791.405071,1355.431718,1640.282154,0,0
SABARKANTHA,35,957,31,2083,88,6,50,23,45,72,67,1151.999027,1141.35416,1212.019482,1075.772184,0.489531183452528,0.454811261114671
PATAN,35,952,21,2330,92,8,39,23,41,67,57,1471.87286933333,2483.09561466667,1364.32490033333,2053.61144866667,0.505568901358445,0.484654315740423
KACHCHH (SC),35,929,29,1551,87,5,35,27,35,69,57,2738.4101305,2543.8558745,2101.049254,2576.089473,0.684670405125223,0.497609423435273
MAHESANA,35,925,28,1399,94,4,38,27,42,75,63,1534.7170125,3305.424575,1530.7446705,3080.064522,0.508057062840603,0.48577322352828
SURENDRANAGAR,35,928,34,2397,87,9,37,27,38,76,62,2004.7387745,2310.4636125,1870.0525,2403.2950965,0.652204938385842,0.745755270547396
PANCHMAHAL,35,1010,25,5485,84,11,42,31,45,51,52,1059.518115,1311.743644,1115.378784,1301.330013,0.609143955035421,0.515101057098245
DAHOD (ST),35,1083,26,1563,81,11,42,30,46,54,53,882.0510272,2395.729,877.0441779,2397.943839,0.707018440504817,0.477610842262726
AHMEDABAD EAST,35,917,36,1788,93,6,32,28,36,74,64,1655.04835,2667.3742785,1694.0632595,3018.3255025,0.519866184340295,0.487505611252432
GANDHINAGAR,35,917,36,1788,93,6,32,28,36,74,64,1655.04835,2667.3742785,1694.0632595,3018.3255025,0.519866184340295,0.487505611252432
KHEDA,35,931,34,5837,92,9,37,27,39,64,58,1479.942549,1985.2835705,1462.2763925,2018.9413985,0.491933223612172,0.410687778327561
AHMEDABAD WEST(SC),35,904,45,2596,94,9,29,27,31,76,62,1900.366983,2658.823497,1809.174001,2736.552784,0,0
RAJKOT,35,915,42,2322,92,5,30,23,31,57,52,3470.573911,2402.745753,2309.31051,2534.026583,0.622911201727738,0.497395921501429
JAMNAGAR,35,952,28,1824,95,4,27,31,29,75,63,1343.757199,2033.737169,1395.396189,1939.608962,0.7713664492874,0.492560297046852
VADODARA,35,943,31,1150,79,11,43,16,39,54,49,1322.271708,2292.442137,1435.92426,2611.168602,0.745053325492475,0.46856884135359
ANAND,35,962,30,1744,92,12,48,21,41,59,50,1049.760535,1836.300897,1117.885433,1953.759674,0.458843546884924,0.435800657038745
CHHOTA UDAIPUR(ST),35,1001,27,1182,79,11,43,29,45,52,51,1223.5279175,1903.153285,1320.532386,2081.332066,0.73625410194852,0.55437676508526
BHAVNAGAR,35,944,19,1895,93,5,48,25,44,69,54,1508.82271,1919.906591,1462.890064,1963.854004,0.445909373567784,0.663302736004024
PORBANDAR,35,943,38,2015,93,7,27,26,28,68,57,2181.28146,2163.75610933333,1808.56975866667,2156.747159,0.637993612804223,0.511543914602035
BHARUCH,35,971,28,967,79,10,44,27,45,54,52,1293.033557,2013.796984,1377.490654,2242.000183,0.718590607329266,0.518960527315156
AMRELI,35,935,26,2224,87,7,43,25,38,71,55,1446.99924,1775.656692,1404.5980745,1933.125174,0.507120824207417,0.558226621021927
JUNAGADH,35,974,38,2231,90,10,27,30,27,77,59,1759.781973,2094.809439,1758.127423,2169.322033,0.593434274430142,0.506336945900182
BARDOLI (ST),35,881,44,1247,92,5,29,26,36,42,39,1100.59406,2394.250152,1186.32591,2571.821619,0.724512473607091,0.617598415463299
SURAT,35,881,44,1247,92,5,29,26,36,42,39,1100.59406,2394.250152,1186.32591,2571.821619,0.724512473607091,0.617598415463299
NAVSARI,35,958,43,1455,93,6,34,26,36,47,45,1413.071677,2376.886419,1482.0128265,2473.9276555,0.62351108747504,0.589049650089074
VALSAD (ST),35,998,34,1828,74,8,43,33,46,58,58,1586.52075,2645.90448,1749.400752,2633.6361495,0.654439376851566,0.670464521041544
AMBALA (SC),36,831,60,908,95,9,23,32,30,66,60,1532.44674566667,2453.921198,1535.09238366667,2618.260207,0.435404866133926,0.487703522545538
KURUKSHETRA,36,882,46,828,89,11,31,24,32,63,57,1506.93328066667,2299.57165566667,1619.380892,2460.32238966667,0.488257856945697,0.47231699378387
SIRSA (SC),36,904,40,816,89,8,29,23,29,73,62,1755.345838,2134.52877366667,1875.96024633333,2370.96158066667,0.45556554264394,0.449236261252492
KARNAL,36,863,50,1327,85,5,42,22,36,70,66,1948.4316195,2869.88729,1951.7417525,2945.3114065,0.455255069042555,0.49601391617439
HISAR,36,918,45,1052,90,7,28,21,26,72,62,1876.361703,2444.12196766667,2036.90525766667,2497.60079633333,0.444116626782397,0.427041772453157
SONIPAT,36,861,51,1844,88,4,33,24,29,67,64,1882.7678125,2374.590116,2104.681836,2596.5589255,0.464889781328076,0.44480311407535
ROHTAK,36,901,47,1498,87,5,28,15,23,75,61,2297.07123633333,2825.76847666667,2369.43336033333,2997.875814,0.438463520447641,0.434710624374152
BHIWANI-MAHENDRAGARH,36,928,47,1094,92,8,29,17,26,74,64,2008.4757735,1923.0221445,2136.7958015,1967.3321,0.388115750892174,0.373694803673866
GURGAON,36,853,47,2106,82,5,34,18,26,72,69,2817.3351625,4447.9599185,2599.2141375,4491.171945,0.495272283087437,0.501551045578285
FARIDABAD,36,826,42,3856,72,8,29,19,20,75,54,1999.533718,3684.156878,1930.613631,4030.352571,0.461554862610843,0.477960023989238
MANDI,32,1058,55,3781,70,5,24,14,17,67,63,1773.642066,3343.79247125,1738.5579305,2641.70234875,0.792253983580171,0.495174906491854
KANGRA,32,1117,57,2605,72,6,27,13,22,56,55,1582.572261,4326.4689685,1535.6758425,2520.94699,0.73037395670115,0.419403913834697
HAMIRPUR,32,1136,63,3838,81,7,26,12,19,42,44,2084.7134998,2715.467042,2015.380354,2801.0658614,0.641092034527289,0.506736669229078
SHIMLA (SC),32,981,55,3070,76,6,27,17,26,68,61,2022.54962566667,3119.203029,1904.74708366667,3447.50890533333,0.716736411569873,0.551293114110861
RAJMAHAL (ST),50,1011,15,880,52,4,49,28,49,75,67,755.813137725,1425.5686705,794.05426965,1283.8067785,0.533274414543109,0.465748538030432
GODDA,43,1002,19,955,56,5,47,30,48,73,63,847.3533304,1796.562222,891.077365866667,1582.312045,0.532766947262869,0.406950707233104
KODARMA,28,1049,27,1570,72,4,45,22,43,70,63,861.39455845,1211.9269585,930.00434235,1223.154464,0.448493929186362,0.457041489472511
DUMKA (ST),40,988,18,920,57,5,44,31,49,71,61,890.372658966667,1932.98725966667,908.420996866667,1597.92824333333,0.560470573859092,0.43316334615792
PALAMU (SC),36,1005,23,2604,56,14,45,27,47,62,56,965.2195367,1651.6193935,974.4177862,1577.264321,0.470017579385666,0.429815899450157
HAZARIBAGH,29,1004,35,1430,76,5,49,24,47,64,60,0,0,0,0,0.465394020291002,0.462891117819743
CHATRA,40,1020,23,2309,53,12,46,27,46,56,54,946.222818533333,1603.157205,938.7499562,1687.57610166667,0.449530005744719,0.494614094368081
GIRIDIH,27,1001,28,1892,63,4,41,29,44,72,68,958.188364266667,1306.86821833333,1015.201283,1352.528992,0.442626555508078,0.427867114763119
DHANBAD,27,960,33,2085,63,5,39,32,46,71,67,985.8277758,1453.633257,1058.28624085,1506.5352365,0.433665076726371,0.413332508662248
RANCHI,41,953,38,1386,70,6,42,25,48,73,71,979.3239388,2960.992432,933.4193589,2517.061483,0.518446288842082,0.422376299201645
LOHARDAGA (ST),42,1021,35,1381,72,7,42,29,46,67,66,972.352030833333,2150.585493,958.820672066667,2004.51809833333,0.61879728531566,0.410710852250975
KHUNTI (ST),45,1011,30,1139,59,6,46,31,51,76,72,940.2554007,2038.92939033333,956.410496466667,1879.03582833333,0.616612461389347,0.411095634082459
JAMSHEDPUR,25,1001,43,1148,81,8,39,40,49,66,66,0,0,0,0,0,0
SINGHBHUM (ST),53,997,26,993,50,4,52,30,59,82,75,0,0,0,0,0,0
BIDAR,29,1003,39,3492,94,2,47,28,48,70,43,1114.653215,1432.1631825,1080.7414515,1327.215144,0.62929690435348,0.471588255019856
GULBARGA (SC),29,989,33,1626,91,0,52,34,56,72,43,1038.302063,1457.404805,1086.699177,1384.673426,0.732055618426626,0.428183451360071
BIJAPUR (SC),29,966,36,2490,90,4,44,29,38,68,41,1049.605457,1410.640774,1091.104623,1545.011518,0.611345672379507,0.550114076408939
CHIKKODI,29,960,39,4175,97,3,36,31,38,66,41,1117.396341,1610.223434,1288.623813,1740.516322,0.682705162827938,0.552539587453131
RAICHUR (ST),29,1012,31,1548,85,1,44,34,48,71,50,1647.372486,1842.250327,1199.631234,1503.128451,0.724358869910472,0.491383534597347
BAGALKOT,29,963,34,2642,92,6,41,33,41,66,40,1285.0706955,1318.2073555,1214.519546,1496.8455795,0.614118241886105,0.572236353350155
BELGAUM,29,960,39,4175,97,3,36,31,38,66,41,1117.396341,1610.223434,1288.623813,1740.516322,0.682705162827938,0.552539587453131
KOPPAL,29,989,27,2052,83,3,47,29,48,70,51,1410.32887703333,1695.629623,1192.691682,1590.81236,0.652446404566509,0.571111919026886
UTTARA KANNADA,29,1008,42,3392,95,4,37,25,34,57,41,1117.396341,1610.223434,1288.623813,1740.516322,0.68160103612342,0.507722505361475
HAVERI,29,935,35,3081,94,8,39,31,37,67,46,1414.609811,1312.9918645,1323.764304,1460.133547,0.581407750253891,0.557422509047685
DHARWAD,29,931,40,2682,96,5,40,27,39,57,49,1170.238657,1598.830104,1220.220644,1744.9442415,0.672825634689441,0.533632584059193
BELLARY (ST),29,952,26,3005,86,3,49,26,53,72,49,1021.32939,1268.399592,1217.242209,1442.498717,0.657213446821843,0.568914630909488
CHITRADURGA (SC),29,974,45,4555,96,3,28,29,27,59,48,1010.6933892,1992.4775015,1095.893142,1940.1673415,0.676939337185845,0.499300403862712
DAVANAGERE,29,951,45,2566,97,6,46,22,41,65,46,0,0,0,0,0,0
SHIMOGA,29,1089,47,4933,97,6,28,17,26,55,46,1737.8903405,1980.2338415,1596.4887,2159.1604175,0.555127628486062,0.503842924941568
UDUPI CHIKMAGALUR,29,1098,46,3072,97,7,21,21,23,57,43,1647.3931673,1948.8373365,1535.928254,2168.171861,0.536040762546915,0.48975409809717
CHIKKBALLAPUR,29,951,54,5338,97,4,29,23,27,52,43,1754.29033133333,3221.77839033333,2084.83184566667,3249.81884766667,0.595165812172264,0.55696203907827
TUMKUR,29,1003,44,4683,96,3,28,26,26,53,52,1137.328705,2289.491856,1157.469253,2290.053106,0.689897173722021,0.527371962986646
HASSAN,29,1068,43,3127,97,8,24,20,25,55,44,1055.5690253,1692.420656,1207.0151885,1820.336515,0.465702101312408,0.386921730157573
KOLAR (SC),29,961,46,3913,96,3,32,18,27,57,44,1653.774969,2701.409971,1765.189677,2784.525984,0.706687606867014,0.567299268082258
DAKSHINA KANNADA,29,1032,51,3163,97,2,23,17,21,54,45,0,0,0,0,0.663214506524594,0.467803017983635
BANGALORE RURAL,29,965,53,5595,97,4,28,25,26,51,46,1582.14157666667,3084.472352,1882.258371,3084.994555,0.589569001123933,0.543652937379732
BANGALORE NORTH,29,898,67,7469,96,4,28,28,26,51,39,2096.928968,4461.716011,2624.86729,4271.328878,0.576638754963773,0.572602582800333
BANGALORE CENTRAL,29,898,67,7469,96,4,28,28,26,51,39,2096.928968,4461.716011,2624.86729,4271.328878,0.576638754963773,0.572602582800333
MANDYA,29,1028,46,3452,96,5,21,20,22,57,45,1462.4404285,2782.777202,1575.688146,2559.8547985,0.596679209344459,0.597252065088188
BANGALORE SOUTH,29,898,67,7469,96,4,28,28,26,51,39,2096.928968,4461.716011,2624.86729,4271.328878,0.576638754963773,0.572602582800333
MYSORE,29,1061,47,4097,96,6,27,16,25,53,41,2849.4338655,2504.4588685,2788.100551,2593.205245,0.547437033620051,0.559769643223473
CHAMARAJANAGAR(SC),29,1038,36,3845,95,7,27,18,28,56,45,1448.416976,2580.880805,1540.574496,2562.031591,0.584626106770066,0.526399194035541
MORENA,65,920,16,589,85,8,49,28,53,72,58,999.73371925,1497.050346,893.02863515,1752.6781965,0.480748989400048,0.447634836751709
BHIND (SC),63,874,23,890,85,10,48,28,48,72,63,978.0050516,1265.7717415,947.5365068,1188.6885975,0.492478289292698,0.399151280942641
GWALIOR,58,898,23,1630,87,8,45,26,49,65,53,1134.6546253,2185.5091095,1063.29436175,2279.1050695,0.533893268811725,0.464569643121784
TIKAMGARH(SC),62,914,14,1741,81,9,46,19,42,66,46,1230.29019,1884.522764,1204.9416465,1636.635517,0.580011717381414,0.490417593051772
GUNA,73,905,14,1181,86,10,44,30,49,63,45,1187.944944,2199.1812915,1140.3120015,1968.4553045,0.741218706917391,0.499756667160681
KHAJURAHO,71,946,19,2231,78,7,43,22,41,66,49,1125.17903416667,2030.63566466667,1042.4103402,1781.36528966667,0.514097143882669,0.487767828324568
MANDSOUR,60,978,18,1263,87,12,38,22,37,70,51,1024.47612683333,2089.71269633333,1013.99297553333,2042.11751933333,0.689437376763298,0.496066529155345
REWA,68,995,23,1377,81,9,40,18,36,54,40,823.9043038,1804.086765,826.0550902,1767.702676,0.469443723674158,0.464487743557511
SATNA,83,993,25,3568,80,8,41,26,39,70,48,715.1835975,1324.610613,742.7852004,1075.458189,0.413951377198309,0.38125313119443
DAMOH,67,925,18,1706,76,8,42,18,36,69,44,1237.655425,1657.390648,1184.38268,1504.18499933333,0.56609667803296,0.517417979263063
RAJGARH,63,926,17,1248,91,9,43,31,48,69,49,1238.04642833333,2148.82617066667,1167.857642,1863.04614566667,0.688350537595842,0.520036371524557
SIDHI,69,989,18,975,66,6,42,26,42,67,55,845.0709118,1447.196543,749.4292313,1238.426893,0.41584878658504,0.393897291030197
SAGAR,67,927,17,2055,75,9,41,19,35,68,41,1072.3366565,1462.110577,1109.683996,1365.979295,0.553464489285431,0.468973327757801
SHAHDOL (ST),66,992,20,1763,77,8,39,27,42,68,59,863.0246556,1733.9498975,783.959262725,1588.1585245,0.48363011132712,0.41157395330274
UJJAIN (SC),59,971,19,1643,87,9,40,20,36,72,50,1198.83117625,1565.0237415,1184.61801665,1591.2843365,0.699559476664471,0.528812160052672
DEWAS (SC),59,932,21,1217,92,7,41,27,44,69,49,1627.419107,2785.546593,1499.10107166667,2129.879367,0.562872852718445,0.523242802175411
BHOPAL,57,913,32,1224,90,7,40,24,39,71,46,1337.653329,3143.3241265,1392.3446855,2548.155156,0.45768659347469,0.539969732595255
VIDISHA,64,927,19,1367,84,10,40,24,42,67,47,1520.13777825,2172.18718355,1460.5776185,1717.8977265,0.509743761792943,0.48452642573387
RATLAM (ST),64,972,13,1140,80,10,45,23,42,74,56,958.9759404,1545.4661265,945.67465565,1594.7980485,0.773055792231447,0.448418645115211
JABALPUR,48,955,37,1252,88,9,36,30,42,59,49,777.8152514,2048.828461,787.1932624,1759.371169,0.565559904590885,0.505161379358263
HOSHANGABAD,63,910,25,1236,86,13,40,25,40,68,52,1267.62877176667,1357.10451773333,1320.0330859,1356.82147166667,0.54663216669462,0.470432971403357
DHAR (ST),45,941,30,1649,86,8,40,24,39,73,51,1377.765808,1633.5610955,1380.8885405,1782.5278215,0.589665021691267,0.39594661724055
INDORE,37,895,41,1804,94,5,39,17,30,71,46,1397.46641,1847.469728,1305.251696,1983.319312,0.598294159154832,0.43727213171768
MANDLA (ST),65,997,20,904,71,10,38,28,43,66,60,938.622779375,1329.3602835,915.694866825,1279.13636025,0.606729819980291,0.459598721077654
KHANDWA,61,957,22,1089,84,8,46,22,45,73,57,1434.58020025,2695.742851,1349.635356,2168.191666,0.672459657648558,0.558151791988756
CHHINDWARA,69,950,28,1251,86,10,33,30,41,65,52,686.4122838,1310.409171,716.2664904,1387.081344,0.582429587776965,0.50063685025457
BETUL (ST),63,966,25,1331,77,12,37,29,42,63,52,755.69506955,1259.0299205,805.01419115,1366.4843825,0.610298830470321,0.417610341111628
KHARGONE(ST),61,1009,16,874,50,11,52,28,55,82,65,851.9052454,1248.59756,949.0036322,1397.086925,0.879877749983025,0.572575847709697
BALAGHAT,63,1049,25,1131,84,6,33,32,42,65,61,792.52022525,1036.483203,812.61301885,1008.8366763,0.485169749116733,0.549450273324138
NANDURBAR (ST),22,969,27,8454,64,8,43,35,51,63,56,1240.903235,1488.0731945,1229.343827,1676.9671035,0.693839247828837,0.486928105452273
AMRAVATI (SC),22,979,49,6546,93,8,38,24,33,50,42,1546.114908,2157.928728,1476.577834,2112.26339,0.624832867070827,0.477790576149383
RAMTEK (SC),22,1004,53,1911,97,5,33,25,33,44,46,1497.728402,2680.31051,1614.780537,2803.077677,0.661758580283757,0.497678017386219
WARDHA,22,963,45,4671,95,9,34,25,34,49,42,1621.1697365,2081.1937215,1624.458776,2227.5375475,0.707189568254746,0.498787412508281
BHANDARA-GONDIYA,22,1028,50,1769,96,6,37,22,36,50,53,1244.9285335,3068.6906415,1302.488131,2731.1931,0.719229089259999,0.458828601452182
DHULE,22,960,34,1811,78,9,41,31,45,59,54,1384.2052765,1942.7885005,1394.72812,2232.748147,0.670674731210944,0.48048214077998
RAVER,22,933,32,2148,83,12,40,26,38,51,46,1493.7201275,2261.006619,1338.9955335,1823.5351045,0.589440554535722,0.491419359408002
GADCHIROLI-CHIMUR,22,988,40,1360,90,4,33,35,40,58,51,1115.82548066667,2363.701263,1192.03227433333,2570.80966433333,0.661627851640006,0.474880548299766
JALGAON,22,914,32,2558,84,12,36,32,36,60,51,1565.142019,1800.494515,1409.301022,1809.721107,0.66729515705932,0.488396470593436
BULDHANA,22,953,32,1739,82,12,43,21,41,43,41,1422.298236,2721.518723,1268.690045,1837.349102,0.511585952012123,0.494442248222568
AKOLA,22,962,41,1926,88,9,41,27,41,56,37,1398.584805,1709.488599,1169.099323,1778.8875725,0.497064651216977,0.39530589823238
NAGPUR,22,1004,53,1911,97,5,33,25,33,44,46,1497.728402,2680.31051,1614.780537,2803.077677,0.661758580283757,0.497678017386219
DINDORI (ST),22,1000,39,1162,85,8,43,32,42,52,54,1482.946452,2275.984704,1478.716117,2464.704367,0.654184698989446,0.506672287319523
YAVATMAL-WASHIM,22,959,37,2015,84,8,44,30,46,64,41,1339.0727685,1498.678053,1146.083693,1607.9940165,0.588595471736515,0.417043819598907
JALNA,22,936,33,13502,92,8,41,21,39,43,44,1121.2597055,1980.965926,1191.970045,1858.619972,0.780793814554296,0.485413906379652
AURANGABAD,22,923,41,2863,93,9,38,20,36,38,45,1104.728669,2246.485864,1200.722528,2076.693648,0.70481843487835,0.482076650545569
CHANDRAPUR,22,965,39,1870,88,6,39,30,44,63,47,1148.477136,1875.6646565,1191.288874,2081.3042655,0.678659383753387,0.456366335583158
PALGHAR (ST),22,922,47,2221,91,6,38,29,40,54,48,1269.76856,2657.322762,1086.427486,2926.213081,0.540815682858753,0.517858186968153
NASHIK,22,1000,39,1162,85,8,43,32,42,52,54,1482.946452,2275.984704,1478.716117,2464.704367,0.654184698989446,0.506672287319523
SHIRDI (SC),22,905,44,4763,94,10,33,21,31,47,46,1247.125435,1779.643815,1296.583054,1826.620933,0.586143730137106,0.532570033501641
HINGOLI,22,990,29,6643,84,9,42,24,40,58,45,1356.55617533333,1660.95990866667,1347.69095466667,1721.53278933333,0.725793686971674,0.497458318768541
BHIWANDI,22,922,47,2221,91,6,38,29,40,54,48,1269.76856,2657.322762,1086.427486,2926.213081,0.540815682858753,0.517858186968153
PARBHANI,22,978,23,13586,88,10,45,21,42,50,45,1192.6553465,1851.1686475,1278.741424,1851.5436315,0.836848818842925,0.481545007052738
